"","Provider_Name","Difference","Percent"
"29","ABSOLUT CTR FOR NURSING & REHAB HOUGHTON  L L C",-0.00145,"-15.41%"
"30","ABSOLUT CTR FOR NURSING & REHAB ORCHARD PARK L L C",-0.00277,"-16.9%"
"31","ABSOLUT CTR FOR NURSING & REHAB THREE RIVERS L L C",-8.99999999999998e-05,"-1.28%"
"32","ABSOLUT CTR FOR NURSING & REHAB WESTFIELD L L C",-0.00111,"-13.25%"
"33","ACACIA HEALTH CENTER",0.00349,"11.2%"
"34","ACACIA PARK NURSING & REHAB CENTER",-0.00949000000000001,"-20.79%"
"35","ACADEMY MANOR",-0.01886,"-35.86%"
"36","ACADIA ST. LANDRY GUEST HOUSE",-0.00426,"-14.08%"
"37","ACCOLADE HEALTHCARE OF PAXTON",-0.01533,"-100%"
"38","ACCOLADE HEALTHCARE OF PONTIAC",-0.02129,"-57.06%"
"39","ACCOLADE PAXTON SENIOR LIVING",0.00912,"27.86%"
"40","ACCORDIUS HEALTH AND REHABILITATION",-0.07268,"-53.83%"
"41","ACCORDIUS HEALTH AT CLEMMONS",-0.00197,"-9.31%"
"42","ACCORDIUS HEALTH AT CREEKSIDE CARE",0.00249,"22.57%"
"43","ACCORDIUS HEALTH AT SCOTLAND MANOR",-0.02835,"-61.44%"
"44","ACCORDIUS HEALTH AT ST MARY, LLC",-0.01613,"-37.67%"
"45","ACCURA HEALTHCARE OF AMES, LLC",-0.00821,"-16.54%"
"46","ACCURA HEALTHCARE OF BANCROFT",0.00994,"32.57%"
"47","ACCURA HEALTHCARE OF BAXTER, LLC",-0.0208,"-37.15%"
"48","ACCURA HEALTHCARE OF CARROLL",-0.01615,"-100%"
"49","ACCURA HEALTHCARE OF CHEROKEE, LLC",0.00342,"12.18%"
"50","ACCURA HEALTHCARE OF CRESCO",0.01921,"90.61%"
"51","ACCURA HEALTHCARE OF KNOXVILLE, LLC",-0.04369,"-25.3%"
"52","ACCURA HEALTHCARE OF NEWTON EAST, LLC",-0.02739,"-100%"
"53","ACCURA HEALTHCARE OF NEWTON WEST, LLC",0.00481,"25.93%"
"54","ACCURA HEALTHCARE OF PLEASANTVILLE, LLC",-0.00675,"-15.17%"
"55","ACCURA HEALTHCARE OF SIOUX CITY, LLC",-0.02918,"-52.32%"
"56","ACCURA HEALTHCARE OF SPIRIT LAKE",7.00000000000006e-05,"0.57%"
"57","ACHIEVE REHAB AND NURSING FACILITY",-0.01656,"-67.73%"
"58","ACTORS FUND HOME, THE",0.00838,"30.66%"
"59","ADA CARE CENTER",-0.01562,"-33.3%"
"60","ADAMS COUNTY MANOR",-0.00137,"-6.56%"
"61","ADAMS COUNTY NURSING CENTER",0.00063,"6.72%"
"62","ADAMS FARM LIVING & REHABILITATION",0.00394,"48.64%"
"63","ADAMS NURSING HOME",-0.01712,"-54.87%"
"64","ADAMS STREET -A STONEBRIDGE COMMUNITY",-0.02182,"-53.36%"
"65","ADAMSVILLE HEALTHCARE AND REHABILITATION CENTER",-0.01094,"-100%"
"66","ADDISON HEIGHTS HEALTH AND REHABILITATION CENTER",-0.0035,"-20.01%"
"67","ADDISON POINTE HEALTH & REHABILITATION CENTER",-0.01236,"-51.95%"
"68","ADDOLORATA VILLA",-0.01347,"-100%"
"69","ADIRA AT RIVERSIDE REHABILITATION & NURSING",-0.02216,"-100%"
"70","ADMIRAL'S POINTE NURSING AND REHABILITATION",-0.02697,"-100%"
"71","ADVANCED CARE CENTER",-0.0112,"-36.39%"
"72","ADVANCED CENTER FOR NURSING & REHABILITATION",-0.00519,"-10.64%"
"73","ADVANCED HEALTH & REHAB CENTER OF GARLAND",-0.01279,"-41.36%"
"74","ADVANCED HEALTHCARE CENTER",-0.01303,"-42.11%"
"75","ADVANCED REHAB CENTER OF TUSTIN",0.01553,"52.25%"
"76","ADVANCED REHABILITATION AND HEALTHCARE OF BOWIE",0.00951,"70.71%"
"77","ADVANTAGE LIVING CENTER - ARMADA",-0.01463,"-100%"
"78","ADVANTAGE LIVING CENTER - BATTLE CREEK",0.00133,"8.45%"
"79","ADVANTAGE LIVING CENTER - HARPER WOODS",-0.00356,"-8.07%"
"80","ADVANTAGE LIVING CENTER - NORTHWEST",0.00178,"5.34%"
"81","ADVANTAGE LIVING CENTER - REDFORD",-0.00418,"-4.99%"
"82","ADVANTAGE LIVING CENTER - ROSEVILLE",-0.01354,"-40.04%"
"83","ADVANTAGE LIVING CENTER - SAMARITAN",-0.01804,"-74.48%"
"84","ADVANTAGE LIVING CENTER - SOUTHGATE",-0.00862,"-20.28%"
"85","ADVENTIST CARE CENTERS-COURTLAND, INC",0.0044,"14.11%"
"86","AFFINITY NURSING & REHAB CENTER",-0.00793,"-31.67%"
"87","AFFINITY SKILLED LIVING AND REHABILITATION CTR",-0.00118,"-9.04%"
"88","AFTON OAKS NURSING CENTER",-0.02265,"-65.01%"
"89","AFV II HEALTH CARE CENTER",0.0191,"53.16%"
"90","AGAWAM HEALTHCARE",0.01846,"92.12%"
"91","AHAVA HEALTHCARE OF CLARKSVILLE",-0.003,"-16.23%"
"92","AITKIN HEALTH SERVICES",-0.03394,"-100%"
"93","AKRON  CARE CENTER, INC",-0.05291,"-69.77%"
"94","ALAMANCE HEALTH CARE CENTER",-0.00517,"-100%"
"95","ALAMEDA CENTER FOR REHABILITATION AND HEALTHCARE",-0.004,"-50.7%"
"96","ALAMEDA COUNTY MEDICAL CENTER D/P SNF",-0.01343,"-27.3%"
"97","ALAMEDA HEALTHCARE & WELLNESS CENTER",-0.00682,"-56.18%"
"98","ALAMEDA HOSPITAL D/P SNF",-0.01404,"-61.15%"
"99","ALAMEDA OAKS NURSING CENTER",-0.01544,"-100%"
"100","ALAMITOS BELMONT REHAB HOSPITA",-0.0147,"-47.59%"
"101","ALAMO HEIGHTS HEALTH AND REHABILITATION CENTER",0.00609,"104.28%"
"102","ALAMO NURSING AND REHABILITATION CENTER",-0.0271,"-70.17%"
"103","ALAMO NURSING HOME INC",-0.00961,"-100%"
"104","ALARIS HEALTH AT BELGROVE",-0.05578,"-100%"
"105","ALARIS HEALTH AT BOULEVARD EAST",-0.01086,"-100%"
"106","ALARIS HEALTH AT CASTLE HILL",0.00472,"47.72%"
"107","ALARIS HEALTH AT CEDAR GROVE",0.00815,"152.62%"
"108","ALARIS HEALTH AT ESSEX",-0.00556,"-56.5%"
"109","ALARIS HEALTH AT HAMILTON PARK",-0.00225,"-10.07%"
"110","ALARIS HEALTH AT HARBOR VIEW",-0.01718,"-64.1%"
"111","ALARIS HEALTH AT JERSEY CITY",1e-04,"1.96%"
"112","ALARIS HEALTH AT RIVERTON",0.00706,"84.75%"
"113","ALARIS HEALTH AT ROCHELLE PARK",-0.00733,"-33%"
"114","ALARIS HEALTH AT ST MARY'S",-0.00588,"-28.63%"
"115","ALARIS HEALTH AT THE FOUNTAINS",-7e-04,"-10.9%"
"116","ALASKA GARDENS HEALTH AND REHABILITATION",-0.02251,"-100%"
"117","ALBANY COUNTY NURSING HOME",-0.00469,"-100%"
"118","ALBEMARLE HEALTH AND REHABILITATION CENTER",-0.02322,"-100%"
"119","ALBERTVILLE NURSING HOME",-0.00624,"-14.67%"
"120","ALBUQUERQUE HEIGHTS HEALTHCARE AND REHABILITATION",-0.02769,"-100%"
"121","ALCESTER CARE AND REHAB CENTER, INC",0.01071,"22.94%"
"122","ALDEN DES PLAINES REHAB & HC",-0.02241,"-100%"
"123","ALDEN ESTATES OF BARRINGTON",-0.02302,"-72.14%"
"124","ALDEN ESTATES OF NAPERVILLE",-0.01456,"-100%"
"125","ALDEN ESTATES OF NORTHMOOR",-0.000189999999999999,"-0.73%"
"126","ALDEN ESTATES OF ORLAND PARK",-0.04941,"-83.92%"
"127","ALDEN LAKELAND REHAB & HCC",-0.00773,"-17.52%"
"128","ALDEN LINCOLN REHAB & H C CTR",-0.00144,"-12.35%"
"129","ALDEN LONG GROVE REHAB &HC CTR",-0.00544,"-37.34%"
"130","ALDEN OF WATERFORD",0.02928,"108.16%"
"131","ALDEN PARK STRATHMOOR",-0.00601,"-50.25%"
"132","ALDEN POPLAR CREEK REHAB & HCC",-0.00935,"-68.55%"
"133","ALDEN TERRACE OF MCHENRY REHAB",-0.0087,"-46.23%"
"134","ALDEN TOWN MANOR REHAB & HCC",-0.01107,"-24.18%"
"135","ALDEN VALLEY RIDGE REHAB & HCC",0.00419,"22.13%"
"136","ALDERSGATE VILLAGE",0.0073,"60.78%"
"137","ALDERWOOD MANOR",0.01641,"114.68%"
"138","ALDERWOOD PARK HEALTH AND REHABILITATION",-0.02083,"-100%"
"139","ALEDO REHAB & HEALTH CARE CENTER",0.00789,"18.59%"
"140","ALEXANDRIA CARE CENTER",-0.01288,"-45.42%"
"141","ALEXANDRIA PLACE",-0.00725,"-18.18%"
"142","ALEXIAN BROS LANSDOWNE VILLAGE",-0.00906,"-25.56%"
"143","ALEXIAN VILLAGE OF TENNESSEE",0.00134,"3.54%"
"144","ALFREDO GONZALEZ TEXAS STATE VETERANS HOME",0.00137,"15.62%"
"145","ALGART HEALTH CARE",-0.000599999999999996,"-1.61%"
"146","ALGONA MANOR CARE CENTER",-0.021,"-43.62%"
"147","ALHAMBRA CARE CENTER",0.01344,"34.89%"
"148","ALHAMBRA HEALTHCARE & WELLNESS CENTRE, LP",0.01488,"96.5%"
"149","ALICE BYRD TAWES NURSING HOME",0.01932,"44.23%"
"150","ALICE HYDE MEDICAL CENTER S N F",-0.01789,"-59.65%"
"151","ALICEVILLE MANOR NURSING HOME",-0.01461,"-43.69%"
"152","ALL SAINTS HEALTHCARE SUBACUTE",-0.00151999999999999,"-2.13%"
"153","ALLAIRE REHAB & NURSING",0.00781,"84.52%"
"154","ALLAY HEALTH AND REHAB",0.01289,"62.48%"
"155","ALLEGAN COUNTY MEDICAL CARE FA",-0.02039,"-41.82%"
"156","ALLEGHANY CENTER",-0.00585,"-19.22%"
"157","ALLEGHANY HEALTH AND REHAB",0.00348,"17.74%"
"158","ALLEGIANT HEALTHCARE OF MESA",0.00556,"33.68%"
"159","ALLEN HEALTH AND REHABILITATION",-0.00582,"-23.17%"
"160","ALLEN OAKS NURSING AND REHAB CENTER",-0.00435,"-27.43%"
"161","ALLENBROOKE NURSING AND REHABILITATION CENTER",-0.03239,"-69.7%"
"162","ALLENDALE NURSING AND REHABILITATION COMMUNITY",-0.02134,"-100%"
"163","ALLENDALE NURSING HOME",0.00651,"28.84%"
"164","ALLIANCE HEALTH AND REHABILITATION CENTER",0.00204,"29.87%"
"165","ALLIANCE HEALTH AT ABBOTT",0.00138,"2.4%"
"166","ALLIANCE HEALTH AT BALDWINVILLE",-0.00177,"-17.88%"
"167","ALLIANCE HEALTH AT BRAINTREE",0.00158,"16.19%"
"168","ALLIANCE HEALTH AT DEVEREUX",-0.00257,"-15.54%"
"169","ALLIANCE HEALTH AT ROSEWOOD",-0.00143,"-15.63%"
"170","ALLIANCE HEALTH AT WEST ACRES",-0.01222,"-56.52%"
"171","ALLIED SERVICES SKILLED NURSING CENTER",0.000580000000000001,"2.5%"
"172","ALLIS CARE CENTER",0.00752,"86.84%"
"173","ALLISON POINTE HEALTHCARE CENTER",0.00674,"9.99%"
"174","ALMA HEALTHCARE AND REHABILITATION CENTER",-0.0444,"-35.09%"
"175","ALMADEN HEALTH AND REHABILITATION  CENTER",0.01515,"22.99%"
"176","ALOHA NURSING & REHAB CENTRE",0.00851,"58.45%"
"177","ALPHA HEALTH & REHAB OF GREER, LLC",-0.00576,"-100%"
"178","ALPHA HOME - A WATERS COMMUNITY",-0.02369,"-100%"
"179","ALPHA MANOR NURSING HOME",-0.00757,"-24.48%"
"180","ALPINE FIRESIDE HEALTH CENTER",0.05975,"87.06%"
"181","ALPINE LIVING CENTER",-0.02121,"-68.64%"
"182","ALPINE NURSING HOME INC",-0.05177,"-76.13%"
"183","ALPINE REHABILITATION AND NURSING CENTER",0.0237,"214.67%"
"184","ALPINE VILLAGE RETIREMENT CENTER",0.0012,"6.12%"
"185","ALTA GARDENS CARE CENTER",-0.01743,"-100%"
"186","ALTA VISTA HEALTHCARE & WELLNESS CENTRE",0.02349,"71.7%"
"187","ALTENHEIM",0.00125,"10.06%"
"188","ALTERCARE OF BIG RAPIDS CTR FOR REHAB & NURSING CA",-0.01484,"-100%"
"189","ALTERCARE OF BUCYRUS CENTER FO",-0.01848,"-100%"
"190","ALTERCARE OF CUYAHOGA FALLS CTR FOR REHAB & NURSIN",-0.00178,"-8.36%"
"191","ALTERCARE OF LOUISVILLE CTR FOR REHAB & NSG CARE",-0.03319,"-54.57%"
"192","ALTERCARE OF NOBLES POND, INC",-0.02515,"-65.21%"
"193","ALTO LUCERO TRANSITIONAL CARE",0.01027,"106.54%"
"194","ALTOONA CENTER FOR NURSING CARE",-0.01947,"-56.04%"
"195","AMARILLO CENTER FOR SKILLED CARE",0.00843,"22.77%"
"196","AMBASSADOR HEALTHCARE",-0.03086,"-76.56%"
"197","AMBASSADOR NURSING AND REHABILITATION CENTER",0.00479,"16.93%"
"198","AMBASSADOR REHAB & HEALTHCARE CENTER",-0.00649,"-15.51%"
"199","AMBERWOOD CARE CENTRE",-0.00261,"-4.3%"
"200","AMBERWOOD GARDENS",-0.0069,"-51.72%"
"201","AMBERWOODS OF FARMINGTON",0.00407,"15.18%"
"202","AMBLER EXTENDED CARE CENTER",-0.00119,"-11.01%"
"203","AMBOY CARE CENTER",0.01316,"67.42%"
"204","AMBROSIO GUILLEN TEXAS STATE VETERANS HOME",-0.00015,"-2.41%"
"205","AMELIA MANOR NURSING HOME",0.008,"31.51%"
"206","AMELIA NURSING CENTER",0.01416,"63.41%"
"207","AMERICAN LUTHERAN HOME-MONDOVI",-0.0245,"-40.77%"
"208","AMERICAN RIVER CENTER",-0.00264,"-17.4%"
"209","AMERICAN VILLAGE",0.00682,"55.04%"
"210","AMERICANA HEALTH & REHAB CTR",0.01169,"96.53%"
"211","AMHERST MEADOWS",-0.01507,"-51.57%"
"212","AMIE HOLT CARE CENTER",0.01053,"24%"
"213","AMISTAD NURSING AND REHABILITATION CENTER",0.000720000000000005,"2.16%"
"214","AMSTERDAM NURSING HOME CORP (1992)",0.00719,"51.17%"
"215","ANADARKO NURSING & REHAB",0.0044,"7.92%"
"216","ANAHEIM CREST NURSING CENTER",-0.00578,"-23.18%"
"217","ANAHEIM HEALTHCARE CENTER, LLC",0.00999,"69.96%"
"218","ANAHEIM TERRACE CARE CENTER",-0.01748,"-52.34%"
"219","ANBERRY NURSING AND REHABILITATION CENTER",0.04036,"147.03%"
"220","ANCHOR CARE AND REHABILITATION CENTER",0.000609999999999999,"2.4%"
"221","ANCHOR LODGE NURSING HOME INC",-0.00229,"-17.75%"
"222","ANDALUSIA MANOR",0.01182,"73.97%"
"223","ANDBE HOME, INC",0.00437,"29.65%"
"224","ANDERSON MILL HEALTH AND REHABILITATION CENTER",-0.00745,"-32.34%"
"225","ANDERSON, THE",0.00986,"99.3%"
"226","ANDOVER SUBACUTE AND REHAB I",-0.02165,"-36.36%"
"227","ANDOVER SUBACUTE AND REHAB II",0.00517,"39.2%"
"228","ANDOVER VILLAGE RETIREMENT COMMUNITY",-0.02351,"-100%"
"229","ANDRUS ON HUDSON",0.0046,"108.49%"
"230","ANN PEARL NURSING FACILITY",0.00799,"42.91%"
"231","ANN'S CHOICE",-0.01391,"-100%"
"232","ANNA JOHN RESIDENT CENTERED CARE COMMUNITY",0.00754,"13.1%"
"233","ANNANDALE CARE CENTER",-0.00563,"-11.77%"
"234","ANOKA REHABILITATION AND LIVING CENTER",0.00852,"32.9%"
"235","ANSON HEALTH AND REHABILITATION",-0.00752,"-100%"
"236","ANSTED CENTER",-0.04129,"-100%"
"237","ANTELOPE VALLEY CARE CENTER",-0.02275,"-49.61%"
"238","ANTIOCH CONVALESCENT HOSPITAL",0.00587,"17.92%"
"239","ANTLERS MANOR",0.00221,"7.8%"
"240","APERION CARE BLOOMINGTON",-0.000539999999999999,"-4.62%"
"241","APERION CARE BRIDGEPORT",-0.000480000000000001,"-0.86%"
"242","APERION CARE BURBANK",0.00354,"27.15%"
"243","APERION CARE CAPITOL",-0.01239,"-49.26%"
"244","APERION CARE DOLTON",0.00632,"40.72%"
"245","APERION CARE FAIRFIELD",0.02777,"80.38%"
"246","APERION CARE FOREST PARK",0.00613,"15.78%"
"247","APERION CARE GALESBURG",-0.01173,"-18.98%"
"248","APERION CARE HIGHWOOD",0.00769,"27.99%"
"249","APERION CARE INTERNATIONAL",-0.00635,"-21.99%"
"250","APERION CARE JACKSONVILLE",0.01262,"120.31%"
"251","APERION CARE KOKOMO",0.01703,"131.91%"
"252","APERION CARE MARSEILLES",-0.02041,"-45.68%"
"253","APERION CARE MORTON TERRACE",0.02056,"181.79%"
"254","APERION CARE MORTON VILLA",0.00566,"22.42%"
"255","APERION CARE OAK LAWN",0.00919,"53%"
"256","APERION CARE PEORIA HEIGHTS",0.00055,"4.46%"
"257","APERION CARE PERU",-0.01712,"-52.81%"
"258","APERION CARE PLUM GROVE",-0.02409,"-41.72%"
"259","APERION CARE TOLLESTON PARK",0.00125,"4.21%"
"260","APERION CARE TOLUCA",-0.01347,"-18.27%"
"261","APERION CARE VALPARAISO",0.00908,"41.98%"
"262","APERION CARE WEST CHICAGO",-0.00554,"-34.39%"
"263","APERION CARE WILMINGTON",-0.00584,"-44.28%"
"264","APEX REHABILITATION & CARE CENTER",-0.00461,"-42.53%"
"265","APEX SECURE CARE BROWNFIELD",-0.0095,"-100%"
"266","APOLLO HEALTH AND REHABILITATION CENTER",-0.00781,"-41.79%"
"267","APOSTOLIC CHRISTIAN HOME",-0.01132,"-100%"
"268","APOSTOLIC CHRISTIAN HOME INC",-0.02797,"-100%"
"269","APOSTOLIC CHRISTIAN HOME OF EUREKA",-0.01833,"-100%"
"270","APOSTOLIC CHRISTIAN RESTMOR",-0.00428,"-18.03%"
"271","APOSTOLIC CHRISTIAN SKYLINES",0.01076,"20.93%"
"272","APPLE REHAB COCCOMO",0.00224,"20.05%"
"273","APPLE REHAB COONEY",0.03444,"173.15%"
"274","APPLE REHAB FARMINGTON VALLEY",-0.01034,"-100%"
"275","APPLE REHAB ROCKY HILL",-0.01182,"-55.41%"
"276","APPLE VALLEY CENTER",-0.00891,"-31.95%"
"277","APPLE VALLEY POST ACUTE CENTER",-0.02498,"-100%"
"278","APPLE VALLEY POST-ACUTE REHAB",-0.01836,"-100%"
"279","APPLETON MUNICIPAL HOSPITAL",-0.00341,"-9.99%"
"280","APPLEWOOD LIVING CENTER",-0.00132,"-12.35%"
"281","APPLEWOOD NURSING CENTER INC",0.00304,"11.64%"
"282","APPLING NURSING AND REHABILITATION PAVILION",0.00205,"12.59%"
"283","APPLINGWOOD HEALTH CARE CENTER",-0.01713,"-68.19%"
"284","APPOMATTOX HEALTH AND REHABILITATON CENTER",-0.00495,"-24.38%"
"285","ARBOR GLEN CARE CENTER",0.01692,"52.74%"
"286","ARBOR GLEN CENTER",0.00449,"56.41%"
"287","ARBOR GRACE SKILLED NURSING AND REHABILITATION LLC",-0.02515,"-37.41%"
"288","ARBOR GROVE VILLAGE",-0.01863,"-44.34%"
"289","ARBOR MANOR CARE CENTER",-0.00609000000000001,"-12.05%"
"290","ARBOR OAKS HEALTHCARE AND REHABILITATION CENTER",-0.00137,"-11.9%"
"291","ARBOR REHABILITATION & NURSING CENTER",0.00437,"35.5%"
"292","ARBOR SPRINGS HEALTH AND REHAB CENTER, LTD",-0.02249,"-41.91%"
"293","ARBOR TERRACE HEALTHCARE CENTER",-0.01725,"-28.88%"
"294","ARBOR TRAIL REHAB AND SKILLED NURSING CENTER",-0.01931,"-32.08%"
"295","ARBOR VIEW",-0.00945,"-23.97%"
"296","ARBOR VILLAGE",-0.00495,"-10.07%"
"297","ARBOR WALK HEALTHCARE CENTER",-0.01543,"-100%"
"298","ARBOR WOODS HEALTH AND REHAB",-0.05089,"-100%"
"299","ARBORETUM NURSING AND REHABILITATION CENTER OF WIN",-0.0178,"-22.79%"
"300","ARBORS AT CARROLL",-0.02721,"-100%"
"301","ARBORS AT FAIRLAWN THE",0.0293,"214.18%"
"302","ARBORS AT MARIETTA",-0.00354,"-31.05%"
"303","ARBORS AT MIFFLIN",-0.01105,"-29.86%"
"304","ARBORS AT POMEROY",-0.00816,"-41.4%"
"305","ARBORS AT STREETSBORO",-0.04659,"-51.7%"
"306","ARBORS AT SYLVANIA",0.00179,"9.69%"
"307","ARBORS AT WOODSFIELD",-0.02204,"-63.48%"
"308","ARBORS EAST SUBACUTE AND REHAB CTR",-0.00796,"-20.51%"
"309","ARBORS WEST",-0.02558,"-73%"
"310","ARBOUR HEALTH CARE CENTER",0.0013,"11.47%"
"311","ARBROOK PLAZA",-0.00722,"-21.54%"
"312","ARBUTUS PARK MANOR",0.00411,"15.28%"
"313","ARCADIA HEALTH CARE CENTER",-0.00456,"-15.11%"
"314","ARCADIA NURSING AND REHAB",0.00321,"11.91%"
"315","ARCADIA RETIREMENT RESIDENCE",0.00196,"18.06%"
"316","ARCADIA VALLEY SKILLED NURSING AND REHABILITATION",0.02737,"120.57%"
"317","ARCH PLAZA NURSING & REHABILITATION CENTER",0.000279999999999999,"1.49%"
"318","ARCHBISHOP LEIBOLD HOME",-0.000269999999999999,"-0.73%"
"319","ARCHSTONE CARE CENTER",0.00751,"45.43%"
"320","ARCOLA HEALTH AND REHABILITATION CENTER",0.00511,"83.36%"
"321","ARDEN HOUSE",-0.00924,"-60.63%"
"322","ARGENTINE CARE CENTER",0.01645,"105.86%"
"323","ARISTACARE AT CEDAR OAKS",-0.00125,"-13.98%"
"324","ARISTACARE AT DELAIRE",-0.00563,"-27.86%"
"325","ARISTACARE AT MEADOW SPRINGS",0.03226,"201.25%"
"326","ARIZONA STATE VETERAN HOME-TUCSON",-0.00787,"-20.47%"
"327","ARKANSAS CONVALESCENT CENTER",0.01748,"219.6%"
"328","ARKANSAS HEALTH CENTER",0.00377,"26.18%"
"329","ARKANSAS NURSING  AND REHABILITATION CENTER",-0.00108,"-3.99%"
"330","ARKANSAS VETERANS HOME AT FAYETTEVILLE",0.01146,"88.84%"
"331","ARLINGTON CARE AND REHABILITATION CENTER",0.00576,"17.65%"
"332","ARLINGTON CARE CENTER",-0.00703,"-100%"
"333","ARLINGTON COURT NURSING & REHABILITATION CENTER",0.01192,"116.75%"
"334","ARLINGTON COVE HEALTHCARE LLC",-0.01451,"-35.56%"
"335","ARLINGTON GOOD SAMARITAN CENTE",0.000489999999999997,"2.62%"
"336","ARLINGTON HEALTH AND REHABILITATION",-0.03903,"-50.15%"
"337","ARLINGTON PLACE HEALTH CAMPUS",-0.02106,"-100%"
"338","ARLINGTON POINTE",-0.01539,"-46.75%"
"339","ARLINGTON REHABILITATION & HEALTHCARE CENTER",0.00792,"12.85%"
"340","ARLINGTON RESIDENCE AND REHABILITATION CENTER",0.000320000000000001,"2.63%"
"341","ARLINGTON VILLA RETIREMENT COMMUNITY",-0.000130000000000005,"-0.29%"
"342","ARMENIAN NURSING AND REHABILITATION CENTER",-0.00249,"-14.38%"
"343","ARMOUR CARE AND REHABILITATION CENTER",0.03292,"29.59%"
"344","ARNOLD WALTER NURSING HOME",0.00634,"55.08%"
"345","ARROWHEAD HEALTH AND REHAB",0.00197,"6.57%"
"346","ARROYO GRANDE CARE CENTER",-0.01413,"-100%"
"347","ARROYO VISTA NURSING CENTER",-0.02946,"-100%"
"348","ARTESIAN HOME",-0.04504,"-57.41%"
"349","ARTHUR HOME, THE",0.00164,"4.49%"
"350","ARTMAN LUTHERAN HOME",-0.00641,"-32.39%"
"351","ASBURY HEALTH AND REHABILITATION CENTER",0.01724,"127.33%"
"352","ASBURY HEALTH CENTER",-0.00704,"-36.99%"
"353","ASBURY PARK",-0.01783,"-39.2%"
"354","ASBURY PARK NURSING & REHABILITATION CENTER",-0.01889,"-64.82%"
"355","ASBURY PLACE AT KINGSPORT",0.00144,"3.39%"
"356","ASBURY PLACE AT MARYVILLE",-0.02899,"-79.51%"
"357","ASBURY SOLOMONS",-0.00606,"-22.87%"
"358","ASBURY TOWERS HEALTH CARE CENTER",-0.00126,"-3.42%"
"359","ASH FLAT HEALTHCARE AND REHABILITATION CENTER",-0.01417,"-100%"
"360","ASH GROVE HEALTHCARE FACILITY",-0.04411,"-100%"
"361","ASHBROOK CARE & REHABILITATION CENTER",-0.01596,"-52.97%"
"362","ASHEVILLE NURSING & REHABILITATION CENTER",-0.00574,"-18.04%"
"363","ASHFORD HALL",-0.0235,"-76.3%"
"364","ASHLAND HEALTH AND REHAB CTR",-0.00314,"-11.35%"
"365","ASHLAND HEALTHCARE",-0.000310000000000005,"-0.88%"
"366","ASHLAND NURSING AND REHABILITATION",0.00328,"35.01%"
"367","ASHLAND PLACE HEALTH AND REHABILITATION, LLC",-0.00661,"-49.66%"
"368","ASHLEY CARE CENTER",-0.01977,"-100%"
"369","ASHLEY MEDICAL CENTER NURSING HOME",-0.0026,"-10.16%"
"370","ASHTABULA COUNTY NURSING HOME",0.01408,"143.09%"
"371","ASHTON COURT CARE AND REHABILITATION CENTRE",-0.00614,"-18.81%"
"372","ASHTON HEALTH AND REHABILITATION",2e-04,"2.82%"
"373","ASHTON MEMORIAL  LIVING CENTER",-0.00816,"-22.14%"
"374","ASHTON PARKE CARE CENTER INC",0.02736,"112.41%"
"375","ASHTON PLACE HEALTH & REHAB CENTER",0.01598,"42.01%"
"376","ASHTON PLACE HEALTH AND REHAB, LLC",-0.0142,"-18.27%"
